"city","city_ascii","state_id","state_name","lat","lng","population","density"
"Rolling Meadows","Rolling Meadows","IL","Illinois","42.0747","-88.0252","23532","1617"
"Wekiwa Springs","Wekiwa Springs","FL","Florida","28.6984","-81.4251","23512","1051"
"Northdale","Northdale","FL","Florida","28.1058","-82.5263","23510","1122"
"Fort Hood","Fort Hood","TX","Texas","31.1345","-97.7797","23508","579"
"Benbrook","Benbrook","TX","Texas","32.6787","-97.4638","23502","843"
"Zion","Zion","IL","Illinois","42.4598","-87.8509","23487","926"
"Watertown","Watertown","WI","Wisconsin","43.1893","-88.7285","23479","750"
"Montrose","Montrose","CO","Colorado","38.4690","-107.8590","23478","413"
"Hialeah Gardens","Hialeah Gardens","FL","Florida","25.8878","-80.3569","23474","2813"
"Columbus","Columbus","NE","Nebraska","41.4368","-97.3563","23468","859"
"Plainview","Plainview","TX","Texas","34.1911","-101.7234","23424","560"
"Auburn","Auburn","ME","Maine","44.0850","-70.2492","23414","152"
"Carteret","Carteret","NJ","New Jersey","40.5848","-74.2284","23408","2058"
